CODGEO;Population_en_2021;Pop_0_14_ans_en_2021;Pop_15_29_ans_en_2021;Pop_30_44_ans_en_2021;Pop_45_59_ans_en_2021;Pop_60_74_ans_en_2021;Pop_75_89_ans_en_2021;Pop_90_ans_ou_plus_en_2021;Pop_Hommes_en_2021;Pop_Femmes_en_2021;Pop_15_ans_ou_plus_Retraités_en_2021;Population_en_2015;Pop_0_14_ans_en_2015;Pop_15_29_ans_en_2015;Pop_30_44_ans_en_2015;Pop_45_59_ans_en_2015;Pop_60_74_ans_en_2015;Pop_75_89_ans_en_2015;Pop_90_ans_ou_plus_en_2015;Pop_Hommes_en_2015;Pop_Femmes_en_2015;Pop_15_ans_ou_plus_Retraités_en_2015;Population_en_2010;Pop_0_14_ans_en_2010;Pop_15_29_ans_en_2010;Pop_30_44_ans_en_2010;Pop_45_59_ans_en_2010;Pop_60_74_ans_en_2010;Pop_Hommes_en_2010;Pop_Femmes_en_2010;Pop_15_ans_ou_plus_Retraités__en_2010;Chômeurs_15_64_ans_en_2021;Chômeurs_15_64_ans_en_2015;Chômeurs_15_64_ans_en_2010;Salaire_net_horaire_moyen_en_2021
44001;2043.0;459.586663509973;311.737701193022;424.725173735512;420.284574731277;290.223966631788;124.286027954119;12.155892244309;1028.22310966523;1014.77689033477;368.344960305265;2042.0;536.0;283.0;466.0;345.0;262.0;139.0;11.0;1037.0;1005.0;450.0;1916.0;475.0;294.0;436.0;327.0;224.0;936.0;980.0;400.0;70.7483050837851;84.0;99.0;13.3027921342804
44002;4068.0;984.639217267019;654.328368834591;901.515313125894;820.302395276633;426.336429891789;221.620035984957;59.2582396191173;2000.26705991324;2067.73294008676;667.596107860418;3700.0;959.0;555.0;905.0;657.0;368.0;217.0;39.0;1836.0;1864.0;655.0;3320.0;903.0;450.0;900.0;526.0;326.0;1633.0;1687.0;504.0;113.466899563206;130.0;93.0;15.880939359658
44003;11099.0;1838.24414372171;1845.08436857804;1835.90557172098;2378.72980013923;1966.05480187559;1108.7145548624;126.266759102056;5284.74653325986;5814.25346674014;3361.55518153218;10403.0;1858.04223038661;1677.92154773832;1856.98620466072;2117.95198988449;1764.46576227998;1034.71469288063;92.9175721692626;4950.15471385468;5452.84528614533;2955.21616234555;10243.0;1788.76797993868;1891.5389288374;1987.69007256199;2036.53515160287;1593.56960374797;4993.89709492193;5249.10290507808;2499.43552419033;498.786053642484;520.545049004924;359.718874220931;14.7749992666238
44005;7184.0;1498.03477390481;1066.19931391612;1522.37720237862;1474.88472859709;1079.15395614763;474.890856461367;68.459168594347;3580.20996798193;3603.79003201807;1338.67978435782;6666.00000000001;1587.4289819376;1040.73481116585;1503.8472906404;1230.83784893268;818.797208538589;446.13013136289;38.2237274220033;3328.82881773399;3337.17118226601;1259.61412151067;6020.0;1503.45935960591;929.82512315271;1419.4039408867;1018.41009852217;742.21921182266;3002.58990147783;3017.41009852217;1117.77339901478;266.617418659146;302.250821018063;246.097290640394;13.7657836325606
44006;1880.0;325.707046857531;230.482299408542;326.25406585905;397.253615669463;448.580163677062;138.357108879339;13.3656996490125;926.187661719837;953.812338280163;530.424097292827;1801.0;373.0;228.0;356.0;389.0;316.0;133.0;6.0;869.0;932.0;410.0;1789.0;410.0;236.0;384.0;355.0;281.0;883.0;906.0;400.0;80.7073793732754;101.0;78.0;
44007;2450.0;427.625771648474;360.229759262855;433.967978744189;513.43880844264;465.815833804729;224.031907608171;24.8899404889427;1197.34910046207;1252.65089953793;634.679908041831;2525.00000000001;519.077198862971;344.691735197808;477.265479504657;469.087165210715;477.265479504657;221.296173189125;16.3167685300738;1232.91589202479;1292.08410797522;647.5717510373;2437.0;526.681234963914;344.932237369687;474.892542101043;442.646752205293;416.263833199679;1182.34562951083;1254.65437048917;633.190056134724;111.219784135122;130.53414824059;112.371692060946;12.6580185180751
44009;9555.0;1744.15306220436;1457.14297459205;1669.81156649306;2075.66624858214;1784.59649433109;744.653193452852;78.9764603444641;4628.20069879471;4926.79930120529;2185.56416080488;8698.0;1578.56193321827;1485.82231362174;1410.25921585878;2187.39867575947;1459.92089979778;499.308670541876;76.7282912020817;4252.6557465868;4445.3442534132;1999.40070329755;8091.0;1524.78294545222;1447.19497157945;1291.47616364701;2162.9532841443;1201.93971451622;3921.36852381485;4169.63147618515;1567.79849484947;289.56059228405;342.505647972156;260.270981726335;19.4058795664444
44010;2823.0;281.706348590582;310.293730147663;327.936825645462;581.420183387709;898.713918073174;374.965460107023;47.9635340483877;1328.29663307524;1494.70336692476;1154.98159401869;2974.0;388.216564106695;363.780296706511;423.054665026554;685.212515552286;766.090773563288;329.236183049163;18.4090019955025;1391.4827079752;1582.5172920248;1016.34554851169;3070.99999999999;488.227136999421;399.857297241603;538.832943691262;710.243225124466;642.448319008051;1498.07082555576;1572.92917444423;873.073448395318;153.909455092593;178.708047622546;162.140748295972;14.2358105203894
44012;3364.0;392.524826450804;277.730239714992;379.896298884237;580.904820112163;1093.39439399688;558.404109737296;81.1453111036266;1546.28841053847;1817.71158946153;1608.81418355013;2834.0;360.352688773224;266.893100179345;333.136351662708;547.013699066363;848.175193637676;401.288534053323;77.1404326273615;1316.95360896302;1517.04639103698;1358.73929945084;2564.0;340.803782859193;211.303472168982;344.236172970125;503.763949597588;737.859464845298;1189.13698355673;1374.86301644327;1121.88567740315;124.906031922401;143.047021319145;117.060139511455;15.8419052953445
44013;3284.0;805.08649569094;495.70048383541;779.442534659287;634.627116916029;425.334194679191;138.66053809878;5.14863612036269;1645.37389732167;1638.62610267833;456.341886562904;2958.0;780.0;433.0;765.0;486.0;359.0;127.0;8.0;1499.0;1459.0;420.0;2646.0;666.0;420.0;663.0;464.0;311.0;1353.0;1293.0;444.0;128.607719402601;158.0;114.0;14.9156861351175
