Code du département,Libellé du département,Code de la circonscription,Libellé de la circonscription,Code de la commune,Libellé de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp,N°Panneauct1,Sexect1,Nomct1,Prénomct1,Voixct1,% Voix/Insct1,% Voix/Expct1
44,Loire-Atlantique,5,5ème circonscription,44204,Thouaré-sur-Loire,0002,832,178,21.39,654,78.61,37,4.45,5.66,11,1.32,1.68,606,72.84,92.66,1,M,MACRON,Emmanuel,449,53.97,74.09,2,F,LE PEN,Marine,157,18.87,25.91
44,Loire-Atlantique,5,5ème circonscription,44204,Thouaré-sur-Loire,0003,862,176,20.42,686,79.58,42,4.87,6.12,5,0.58,0.73,639,74.13,93.15,1,M,MACRON,Emmanuel,467,54.18,73.08,2,F,LE PEN,Marine,172,19.95,26.92
44,Loire-Atlantique,5,5ème circonscription,44204,Thouaré-sur-Loire,0004,813,170,20.91,643,79.09,47,5.78,7.31,11,1.35,1.71,585,71.96,90.98,1,M,MACRON,Emmanuel,425,52.28,72.65,2,F,LE PEN,Marine,160,19.68,27.35
44,Loire-Atlantique,5,5ème circonscription,44204,Thouaré-sur-Loire,0005,723,133,18.4,590,81.6,27,3.73,4.58,10,1.38,1.69,553,76.49,93.73,1,M,MACRON,Emmanuel,434,60.03,78.48,2,F,LE PEN,Marine,119,16.46,21.52
44,Loire-Atlantique,5,5ème circonscription,44204,Thouaré-sur-Loire,0006,780,145,18.59,635,81.41,39,5.0,6.14,9,1.15,1.42,587,75.26,92.44,1,M,MACRON,Emmanuel,476,61.03,81.09,2,F,LE PEN,Marine,111,14.23,18.91
44,Loire-Atlantique,5,5ème circonscription,44204,Thouaré-sur-Loire,0007,841,198,23.54,643,76.46,41,4.88,6.38,14,1.66,2.18,588,69.92,91.45,1,M,MACRON,Emmanuel,412,48.99,70.07,2,F,LE PEN,Marine,176,20.93,29.93
44,Loire-Atlantique,5,5ème circonscription,44204,Thouaré-sur-Loire,0008,848,171,20.17,677,79.83,37,4.36,5.47,11,1.3,1.62,629,74.17,92.91,1,M,MACRON,Emmanuel,496,58.49,78.86,2,F,LE PEN,Marine,133,15.68,21.14
44,Loire-Atlantique,5,5ème circonscription,44204,Thouaré-sur-Loire,0009,763,170,22.28,593,77.72,37,4.85,6.24,9,1.18,1.52,547,71.69,92.24,1,M,MACRON,Emmanuel,414,54.26,75.69,2,F,LE PEN,Marine,133,17.43,24.31
44,Loire-Atlantique,5,5ème circonscription,44204,Thouaré-sur-Loire,0010,730,145,19.86,585,80.14,49,6.71,8.38,9,1.23,1.54,527,72.19,90.09,1,M,MACRON,Emmanuel,396,54.25,75.14,2,F,LE PEN,Marine,131,17.95,24.86
44,Loire-Atlantique,5,5ème circonscription,44205,Les Touches,0001,829,193,23.28,636,76.72,45,5.43,7.08,22,2.65,3.46,569,68.64,89.47,1,M,MACRON,Emmanuel,367,44.27,64.5,2,F,LE PEN,Marine,202,24.37,35.5
44,Loire-Atlantique,5,5ème circonscription,44205,Les Touches,0002,1027,211,20.55,816,79.45,48,4.67,5.88,27,2.63,3.31,741,72.15,90.81,1,M,MACRON,Emmanuel,445,43.33,60.05,2,F,LE PEN,Marine,296,28.82,39.95
44,Loire-Atlantique,9,9ème circonscription,44206,Touvois,0001,1159,260,22.43,899,77.57,29,2.5,3.23,37,3.19,4.12,833,71.87,92.66,1,M,MACRON,Emmanuel,474,40.9,56.9,2,F,LE PEN,Marine,359,30.97,43.1
44,Loire-Atlantique,6,6ème circonscription,44207,Trans-sur-Erdre,0001,714,137,19.19,577,80.81,50,7.0,8.67,22,3.08,3.81,505,70.73,87.52,1,M,MACRON,Emmanuel,287,40.2,56.83,2,F,LE PEN,Marine,218,30.53,43.17
44,Loire-Atlantique,6,6ème circonscription,44208,Treffieux,0001,618,132,21.36,486,78.64,35,5.66,7.2,17,2.75,3.5,434,70.23,89.3,1,M,MACRON,Emmanuel,258,41.75,59.45,2,F,LE PEN,Marine,176,28.48,40.55
44,Loire-Atlantique,5,5ème circonscription,44209,Treillières,0001,791,179,22.63,612,77.37,41,5.18,6.7,11,1.39,1.8,560,70.8,91.5,1,M,MACRON,Emmanuel,419,52.97,74.82,2,F,LE PEN,Marine,141,17.83,25.18
44,Loire-Atlantique,5,5ème circonscription,44209,Treillières,0002,865,161,18.61,704,81.39,62,7.17,8.81,13,1.5,1.85,629,72.72,89.35,1,M,MACRON,Emmanuel,466,53.87,74.09,2,F,LE PEN,Marine,163,18.84,25.91
44,Loire-Atlantique,5,5ème circonscription,44209,Treillières,0003,974,231,23.72,743,76.28,49,5.03,6.59,16,1.64,2.15,678,69.61,91.25,1,M,MACRON,Emmanuel,479,49.18,70.65,2,F,LE PEN,Marine,199,20.43,29.35
44,Loire-Atlantique,5,5ème circonscription,44209,Treillières,0004,1161,190,16.37,971,83.63,72,6.2,7.42,14,1.21,1.44,885,76.23,91.14,1,M,MACRON,Emmanuel,671,57.8,75.82,2,F,LE PEN,Marine,214,18.43,24.18
44,Loire-Atlantique,5,5ème circonscription,44209,Treillières,0005,1075,205,19.07,870,80.93,71,6.6,8.16,11,1.02,1.26,788,73.3,90.57,1,M,MACRON,Emmanuel,594,55.26,75.38,2,F,LE PEN,Marine,194,18.05,24.62
44,Loire-Atlantique,5,5ème circonscription,44209,Treillières,0006,998,193,19.34,805,80.66,48,4.81,5.96,8,0.8,0.99,749,75.05,93.04,1,M,MACRON,Emmanuel,522,52.3,69.69,2,F,LE PEN,Marine,227,22.75,30.31
