Code du département,Libellé du département,Code de la circonscription,Libellé de la circonscription,Code de la commune,Libellé de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneauct1,Sexect1,Nomct1,Prénomct1,Voixct1,% Voix/Insct1,% Voix/Expct1,N°Panneauct2,Sexect2,Nomct2,Prénomct2,Voixct2,% Voix/Insct2,% Voix/Expct2
44,Loire-Atlantique,08,8ème circonscription,44184,Saint-Nazaire,0014,1198,301,"25,13",897,"74,87",86,"7,18","9,59",27,"2,25","3,01",784,"65,44","87,40",1,M,MACRON,Emmanuel,597,"49,83","76,15",2,F,LE PEN,Marine,187,"15,61","23,85"
44,Loire-Atlantique,08,8ème circonscription,44184,Saint-Nazaire,0015,1167,242,"20,74",925,"79,26",93,"7,97","10,05",25,"2,14","2,70",807,"69,15","87,24",1,M,MACRON,Emmanuel,626,"53,64","77,57",2,F,LE PEN,Marine,181,"15,51","22,43"
44,Loire-Atlantique,08,8ème circonscription,44184,Saint-Nazaire,0016,1124,275,"24,47",849,"75,53",78,"6,94","9,19",33,"2,94","3,89",738,"65,66","86,93",1,M,MACRON,Emmanuel,541,"48,13","73,31",2,F,LE PEN,Marine,197,"17,53","26,69"
44,Loire-Atlantique,08,8ème circonscription,44184,Saint-Nazaire,0017,1114,240,"21,54",874,"78,46",67,"6,01","7,67",28,"2,51","3,20",779,"69,93","89,13",1,M,MACRON,Emmanuel,617,"55,39","79,20",2,F,LE PEN,Marine,162,"14,54","20,80"
44,Loire-Atlantique,08,8ème circonscription,44184,Saint-Nazaire,0018,1058,267,"25,24",791,"74,76",71,"6,71","8,98",14,"1,32","1,77",706,"66,73","89,25",1,M,MACRON,Emmanuel,541,"51,13","76,63",2,F,LE PEN,Marine,165,"15,60","23,37"
44,Loire-Atlantique,08,8ème circonscription,44184,Saint-Nazaire,0019,1066,272,"25,52",794,"74,48",66,"6,19","8,31",24,"2,25","3,02",704,"66,04","88,66",1,M,MACRON,Emmanuel,581,"54,50","82,53",2,F,LE PEN,Marine,123,"11,54","17,47"
44,Loire-Atlantique,08,8ème circonscription,44184,Saint-Nazaire,0020,1086,242,"22,28",844,"77,72",83,"7,64","9,83",25,"2,30","2,96",736,"67,77","87,20",1,M,MACRON,Emmanuel,602,"55,43","81,79",2,F,LE PEN,Marine,134,"12,34","18,21"
44,Loire-Atlantique,08,8ème circonscription,44184,Saint-Nazaire,0021,1037,296,"28,54",741,"71,46",76,"7,33","10,26",29,"2,80","3,91",636,"61,33","85,83",1,M,MACRON,Emmanuel,496,"47,83","77,99",2,F,LE PEN,Marine,140,"13,50","22,01"
44,Loire-Atlantique,08,8ème circonscription,44184,Saint-Nazaire,0022,1047,271,"25,88",776,"74,12",64,"6,11","8,25",23,"2,20","2,96",689,"65,81","88,79",1,M,MACRON,Emmanuel,539,"51,48","78,23",2,F,LE PEN,Marine,150,"14,33","21,77"
44,Loire-Atlantique,08,8ème circonscription,44184,Saint-Nazaire,0023,1039,225,"21,66",814,"78,34",76,"7,31","9,34",17,"1,64","2,09",721,"69,39","88,57",1,M,MACRON,Emmanuel,556,"53,51","77,12",2,F,LE PEN,Marine,165,"15,88","22,88"
